Membership No  Date Joined  Active  
    59456      2020-9-21    no    
    76068      2020-1-1     no    
    41865      2015-5-11    no    
    79752      2019-7-10    no    
    58004      2015-3-23    no    
    55229      2020-2-18    no    
    94479      2015-2-17    no    
    75741      2019-3-2     no    
    33343      2016-9-3     no    
    91710      2017-11-2    no    
    84712      2018-12-1    no    
    85450      2019-6-12    no    
    76414      2016-11-5    no    
    30045      2018-1-21    no    
    30336      2020-11-5    no    
